,model,group,cos_sim
198,oscar,huge,0.005542600527405739
199,oscar,huge,0.02618313394486904
200,oscar,huge,0.04344069957733154
201,oscar,huge,0.02652464061975479
202,oscar,huge,0.02605203539133072
203,oscar,huge,-0.004618189297616482
204,oscar,huge,0.004406179301440716
205,oscar,huge,-0.0012531663523986936
206,oscar,huge,-0.0032957270741462708
207,oscar,huge,0.004909830633550882
208,oscar,huge,0.04729375243186951
209,oscar,huge,-0.040231332182884216
210,oscar,huge,0.005438386928290129
211,oscar,huge,0.02907068096101284
212,oscar,huge,0.0401148721575737
213,oscar,huge,-0.0539441742002964
214,clip,tiny,0.058929443359375
215,clip,tiny,0.07781982421875
216,clip,tiny,0.053619384765625
217,clip,tiny,0.055450439453125
218,clip,tiny,0.11077880859375
219,clip,tiny,0.08380126953125
220,clip,tiny,0.11151123046875
221,clip,tiny,0.06524658203125
222,clip,tiny,0.0518798828125
223,clip,tiny,-0.002071380615234375
224,clip,tiny,0.0767822265625
225,clip,tiny,0.0189208984375
226,clip,tiny,0.04766845703125
227,clip,tiny,0.05401611328125
228,clip,tiny,0.1114501953125
229,clip,small,0.08349609375
230,clip,small,0.0794677734375
231,clip,small,0.0916748046875
232,clip,small,0.076416015625
233,clip,small,0.11041259765625
234,clip,small,0.11572265625
235,clip,small,0.1099853515625
236,clip,small,0.1392822265625
237,clip,small,0.131103515625
238,clip,small,0.10784912109375
239,clip,small,0.058013916015625
240,clip,small,0.08038330078125
241,clip,small,0.07696533203125
242,clip,small,0.061767578125
243,clip,small,0.0810546875
244,clip,small,0.08245849609375
245,clip,small,0.1390380859375
246,clip,small,0.10687255859375
247,clip,small,0.04400634765625
248,clip,small,0.10418701171875
249,clip,small,0.0728759765625
250,clip,small,0.09100341796875
251,clip,small,0.06109619140625
252,clip,small,0.058807373046875
253,clip,small,0.064208984375
254,clip,small,0.09442138671875
255,clip,small,0.07635498046875
256,clip,small,0.09454345703125
257,clip,small,0.08306884765625
258,clip,small,0.122314453125
259,clip,small,0.06805419921875
260,clip,small,0.07666015625
261,clip,small,0.056396484375
262,clip,medium,0.08203125
263,clip,medium,0.0550537109375
264,clip,medium,0.13134765625
265,clip,medium,0.10540771484375
266,clip,medium,0.061614990234375
267,clip,medium,0.1529541015625
268,clip,medium,0.10150146484375
269,clip,medium,0.100830078125
270,clip,medium,0.128173828125
271,clip,medium,0.09466552734375
272,clip,medium,0.08636474609375
273,clip,medium,0.043426513671875
274,clip,medium,0.09027099609375
275,clip,medium,0.106689453125
276,clip,medium,0.07232666015625
277,clip,medium,0.041961669921875
278,clip,medium,0.04119873046875
279,clip,medium,0.050689697265625
280,clip,medium,0.1046142578125
281,clip,medium,0.11676025390625
282,clip,medium,0.068603515625
283,clip,medium,0.10504150390625
284,clip,medium,0.0697021484375
285,clip,medium,0.11883544921875
286,clip,medium,0.07763671875
287,clip,large,0.1243896484375
288,clip,large,0.1116943359375
289,clip,large,0.0853271484375
290,clip,large,0.07830810546875
291,clip,large,0.0621337890625
292,clip,large,0.0645751953125
293,clip,large,0.082275390625
294,clip,large,0.060882568359375
295,clip,large,0.0770263671875
296,clip,large,0.0989990234375
297,clip,large,0.07073974609375
298,clip,large,0.09454345703125
299,clip,large,0.089599609375
300,clip,large,0.060333251953125
301,clip,large,0.08209228515625
302,clip,large,0.0931396484375
303,clip,huge,0.08624267578125
304,clip,huge,0.08984375
305,clip,huge,0.11395263671875
306,clip,huge,0.09320068359375
307,clip,huge,0.08099365234375
308,clip,huge,0.0792236328125
309,clip,huge,0.0653076171875
310,clip,huge,0.093017578125
311,clip,huge,0.0889892578125
312,clip,huge,0.06195068359375
313,clip,huge,0.10101318359375
314,clip,huge,0.07684326171875
315,clip,huge,0.0953369140625
316,clip,huge,0.07073974609375
317,clip,huge,0.07879638671875
318,clip,huge,0.08575439453125
319,clip,huge,0.1021728515625
320,clip,huge,0.053985595703125
